keys,ru
"Рейтинг: ","Рейтинг: "
"Игроков: ","Игроков: "
"Готов к матчу","Готов к матчу"
"Коллекция","Коллекция"
"Мой состав","Мой состав"
"Драфт","Драфт"
"Магазин","Магазин"
"Матч","Матч"
"🪙 ","🪙 "
" МОНЕТ"," МОНЕТ"
"МАГАЗИН","МАГАЗИН"
"ЗОЛОТОЙ ПАК","ЗОЛОТОЙ ПАК"
"1 случайный игрок из доступной базы","1 случайный игрок из доступной базы"
"💰 ","💰 "
"BRONZE 55%  •  SILVER 30%  •  GOLD 12%  •  ELITE 3%","BRONZE 55%  •  SILVER 30%  •  GOLD 12%  •  ELITE 3%"
"📦 ОТКРЫТЬ ПАК","📦 ОТКРЫТЬ ПАК"
"Выберите пак и получите нового игрока.","Выберите пак и получите нового игрока."
"❌ Платёжная система недоступна.","❌ Платёжная система недоступна."
"❌ Логика паков недоступна.","❌ Логика паков недоступна."
"❌ Менеджер клуба недоступен.","❌ Менеджер клуба недоступен."
"❌ Недостаточно монет!","❌ Недостаточно монет!"
"Нужно: %s монет.","Нужно: %s монет."
"❌ Не удалось списать монеты.","❌ Не удалось списать монеты."
"Возврат монет.","Возврат монет."
"🎉 ВЫ ВЫТАЩИЛИ ИГРОКА!","🎉 ВЫ ВЫТАЩИЛИ ИГРОКА!"
"Редкость: ","Редкость: "
"✅ Игрок добавлен в «Мой клуб»!","✅ Игрок добавлен в «Мой клуб»!"
"⚙️ НАСТРОЙКИ","⚙️ НАСТРОЙКИ"
"Настрой свой клуб под себя","Настрой свой клуб под себя"
"🔊 Громкость","🔊 Громкость"
"0% — выключить звук, 100% — максимум","0% — выключить звук, 100% — максимум"
"📖 Повторить обучение","📖 Повторить обучение"
"Покажет учебник заново","Покажет учебник заново"
"⚠️ ОПАСНАЯ ЗОНА","⚠️ ОПАСНАЯ ЗОНА"
"🗑️ СБРОСИТЬ ВЕСЬ ПРОГРЕСС","🗑️ СБРОСИТЬ ВЕСЬ ПРОГРЕСС"
"Клуб, состав, монеты — всё будет удалено","Клуб, состав, монеты — всё будет удалено"
"← Домой","← Домой"
"СБРОСИТЬ ПРОГРЕСС?","СБРОСИТЬ ПРОГРЕСС?"
"Все игроки, состав, монеты и настройки","Все игроки, состав, монеты и настройки"
"будут удалены. Это действие невозможно отменить.","будут удалены. Это действие невозможно отменить."
"Отмена","Отмена"
"Сбросить","Сбросить"
"Прогресс сброшен. Начни с чистого листа!","Прогресс сброшен. Начни с чистого листа!"
"← Назад","← Назад"
"Далее →","Далее →"
"Пропустить","Пропустить"
"НАЧАТЬ ИГРУ","НАЧАТЬ ИГРУ"
"ШАГ %s ИЗ %s","ШАГ %s ИЗ %s"
"Отличная работа! Добро пожаловать в FC Draft!","Отличная работа! Добро пожаловать в FC Draft!"
"ДОБРО ПОЖАЛОВАТЬ В FC DRAFT!","ДОБРО ПОЖАЛОВАТЬ В FC DRAFT!"
"ДРАФТ","ДРАФТ"
"СОСТАВ","СОСТАВ"
"МАТЧИ","МАТЧИ"
"ВСЁ ГОТОВО!","ВСЁ ГОТОВО!"
"Ты — тренер и менеджер футбольного клуба.","Ты — тренер и менеджер футбольного клуба."
"Собирай команду мечты, открывай паки с игроками","Собирай команду мечты, открывай паки с игроками"
"и выигрывай матчи, чтобы заработать монеты.","и выигрывай матчи, чтобы заработать монеты."
"Всё начинается с драфта — выбери 11 игроков,","Всё начинается с драфта — выбери 11 игроков,"
"которые станут основой твоего клуба.","которые станут основой твоего клуба."
"На главном экране нажми «Драфт».","На главном экране нажми «Драфт»."
"Ты будешь выбирать игроков по очереди,","Ты будешь выбирать игроков по очереди,"
"а после выбора 11 футболистов команда","а после выбора 11 футболистов команда"
"будет добавлена в твой клуб.","будет добавлена в твой клуб."
"Следи за позициями и рейтингом игроков!","Следи за позициями и рейтингом игроков!"
"В разделе «Мой состав» ты видишь всех игроков клуба.","В разделе «Мой состав» ты видишь всех игроков клуба."
"Расставляй стартовые 11 и выбирай запасных.","Расставляй стартовые 11 и выбирай запасных."
"Схема (например, 4-4-2) влияет на расстановку","Схема (например, 4-4-2) влияет на расстановку"
"и химию команды.","и химию команды."
"Между экранами можно свободно переключаться.","Между экранами можно свободно переключаться."
"Открывай ЗОЛОТЫЕ ПАКИ в магазине за 500 монет.","Открывай ЗОЛОТЫЕ ПАКИ в магазине за 500 монет."
"Внутри — случайный игрок: от BRONZE до ELITE.","Внутри — случайный игрок: от BRONZE до ELITE."
"Чем выше редкость, тем сильнее и ценнее карточка.","Чем выше редкость, тем сильнее и ценнее карточка."
"Монеты зарабатываются за матчи и с наград клуба.","Монеты зарабатываются за матчи и с наград клуба."
"Нажми «Матч», когда соберёшь 11 игроков.","Нажми «Матч», когда соберёшь 11 игроков."
"Матч симулируется автоматически: голы, жёлтые","Матч симулируется автоматически: голы, жёлтые"
"карточки, опасные моменты.","карточки, опасные моменты."
"За победу — 500 монет, за ничью — 300,","За победу — 500 монет, за ничью — 300,"
"за поражение — 200. Без проигрыша не бывает побед!","за поражение — 200. Без проигрыша не бывает побед!"
"Ты узнал основы. Удачи в построении команды мечты!","Ты узнал основы. Удачи в построении команды мечты!"
"Настройки (звук, сброс прогресса) доступны","Настройки (звук, сброс прогресса) доступны"
"по кнопке ⚙️ на главном экране.","по кнопке ⚙️ на главном экране."
"Приятной игры!","Приятной игры!"
"Схема: %s ▼","Схема: %s ▼"
"Запасные","Запасные"
"+ Добавить в запас","+ Добавить в запас"
"Выберите игрока","Выберите игрока"
"Выберите схему","Выберите схему"
"Закрыть","Закрыть"
"🔄 Заменить","🔄 Заменить"
"❌ Убрать из состава","❌ Убрать из состава"
"Сила команды: ","Сила команды: "
"Сыгранность: ","Сыгранность: "
"Сначала собери состав!","Сначала собери состав!"
"Перейди в 'Мой состав' и добавь минимум 11 игроков","Перейди в 'Мой состав' и добавь минимум 11 игроков"
"👥 Перейти к составу","👥 Перейти к составу"
"ВАША КОМАНДА","ВАША КОМАНДА"
"СОПЕРНИК","СОПЕРНИК"
"МАТЧ НАЧИНАЕТСЯ","МАТЧ НАЧИНАЕТСЯ"
"Следим за событиями матча...","Следим за событиями матча..."
"НАЧАТЬ МАТЧ","НАЧАТЬ МАТЧ"
"МАТЧ ГОТОВ","МАТЧ ГОТОВ"
"Ваша команда выходит на поле.","Ваша команда выходит на поле."
"МАТЧ ИДЁТ...","МАТЧ ИДЁТ..."
"Событие матча","Событие матча"
"⚽ ГОЛ ВАШЕЙ КОМАНДЫ!","⚽ ГОЛ ВАШЕЙ КОМАНДЫ!"
"⚽ ГОЛ СОПЕРНИКА!","⚽ ГОЛ СОПЕРНИКА!"
"ОПАСНЫЙ МОМЕНТ","ОПАСНЫЙ МОМЕНТ"
"🟨 ЖЁЛТАЯ КАРТОЧКА","🟨 ЖЁЛТАЯ КАРТОЧКА"
"🟥 КРАСНАЯ КАРТОЧКА","🟥 КРАСНАЯ КАРТОЧКА"
"СОБЫТИЕ МАТЧА","СОБЫТИЕ МАТЧА"
"🏆 ПОБЕДА!","🏆 ПОБЕДА!"
"ПОРАЖЕНИЕ","ПОРАЖЕНИЕ"
"🤝 НИЧЬЯ","🤝 НИЧЬЯ"
"Матч завершён!","Матч завершён!"
"ПОСМОТРЕТЬ РЕЗУЛЬТАТ","ПОСМОТРЕТЬ РЕЗУЛЬТАТ"
"Не удалось открыть итоги матча","Не удалось открыть итоги матча"
"ИТОГИ МАТЧА","ИТОГИ МАТЧА"
"МАТЧ ОКОНЧЕН","МАТЧ ОКОНЧЕН"
"ИТОГ МАТЧА","ИТОГ МАТЧА"
"ВАША КОМАНДА          СОПЕРНИК","ВАША КОМАНДА          СОПЕРНИК"
"Матч завершён.","Матч завершён."
"ХРОНОЛОГИЯ","ХРОНОЛОГИЯ"
"🏠 Домой","🏠 Домой"
"📦 Магазин","📦 Магазин"
"90' — МАТЧ ОКОНЧЕН","90' — МАТЧ ОКОНЧЕН"
"🏆 ПОБЕДА","🏆 ПОБЕДА"
"Отличный матч! Команда забрала победу.","Отличный матч! Команда забрала победу."
"🎁 +500 монет","🎁 +500 монет"
"Равный матч. Команды разделили очки.","Равный матч. Команды разделили очки."
"🎁 +300 монет","🎁 +300 монет"
"На этот раз победить не удалось.","На этот раз победить не удалось."
"🎁 +200 монет","🎁 +200 монет"
"[color=#888888]• Матч прошёл без значимых событий.[/color]","[color=#888888]• Матч прошёл без значимых событий.[/color]"
"  КЛУБ","  КЛУБ"
"🛒  МАГАЗИН","🛒  МАГАЗИН"
"  Сыгранность 0 / 33","  Сыгранность 0 / 33"
"  Сыгранность  ","  Сыгранность  "
"  НОВЫЙ ДРАФТ","  НОВЫЙ ДРАФТ"
"Не удалось загрузить схемы","Не удалось загрузить схемы"
"Игрок","Игрок"
"Не удалось отобразить карточку игрока","Не удалось отобразить карточку игрока"
"Слишком много карточек на экране","Слишком много карточек на экране"
"Сыгранность: 0 / 33","Сыгранность: 0 / 33"
"Сила команды: 0","Сила команды: 0"
"Схема: ","Схема: "
"МОЯ КОЛЛЕКЦИЯ","МОЯ КОЛЛЕКЦИЯ"
"В вашем клубе пока нет игроков.\nОткройте пак в магазине, чтобы получить первого игрока!","В вашем клубе пока нет игроков.\nОткройте пак в магазине, чтобы получить первого игрока!"
"Не удалось открыть карточку игрока","Не удалось открыть карточку игрока"
"DRAFT  •  ВЫБОР ИГРОКА","DRAFT  •  ВЫБОР ИГРОКА"
"Выберите одного игрока для своего состава","Выберите одного игрока для своего состава"
"▸  Нажмите на карточку, чтобы выбрать игрока","▸  Нажмите на карточку, чтобы выбрать игрока"
"ПОЗИЦИЮ","ПОЗИЦИЮ"
"Позиция: ","Позиция: "
"  •  выберите одного из вариантов","  •  выберите одного из вариантов"
"ВЫБОР СХЕМЫ","ВЫБОР СХЕМЫ"
"4 случайные схемы из ","4 случайные схемы из "
" доступных"," доступных"
" игроков"," игроков"
"ВЫБРАТЬ","ВЫБРАТЬ"
"ИГРОК","ИГРОК"
"В СОСТАВ","В СОСТАВ"
"УЖЕ В СОСТАВЕ","УЖЕ В СОСТАВЕ"
"Не удалось добавить игрока в состав","Не удалось добавить игрока в состав"
"Не найден файл базы игроков","Не найден файл базы игроков"
"Не удалось открыть базу игроков","Не удалось открыть базу игроков"
"Файл базы игроков повреждён","Файл базы игроков повреждён"
"Неверный формат базы игроков","Неверный формат базы игроков"

"Не удалось запустить матч","Не удалось запустить матч"
"Ошибка покупки.","Ошибка покупки."
"📖 УЧЕБНИК","📖 УЧЕБНИК"
